"","Blank-AD","D135-T37-1","D135-T37-2","D135-T50-1","D135-T50-2","D135-T65-1","D135-T65-2","D135-T80-1","D135-T80-2","D20-T50-af-1","D20-T50-af-2","D20-T50-bef-1","D20-T50-bef-2","D3-T37-Initial","D3-T50-af-1","D3-T50-af-2","D3-T50-Initial","D3-T65-af-1","D3-T65-af-2","D3-T65-Initial","D3-T80-af-1","D3-T80-af-2","D3-T80-Initial","D43-T37-1","D43-T37-2","D43-T50-1","D43-T50-2","D43-T65-1","D43-T65-2","D43-T80-1","D43-T80-2","D70-T37-1","D70-T37-2","D70-T50-1","D70-T50-2","D70-T65-1","D70-T65-2","D70-T80-1","D70-T80-2","D76-T50-af-1","D76-T50-af-2","D76-T50-bef-1","D76-T50-bef-2","D76-T65-af-1","D76-T65-bef-1","D76-T80-af-1","D76-T80-bef-1","D96-T37-1","D96-T37-2","D96-T50-1","D96-T50-2","D96-T65-1","D96-T65-af-2","D96-T65-bef-2","D96-T80-1","D96-T80-2","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV194",0,0.0341217072552499,0.0244107515799181,0.0880059169935681,0.0323743152406349,0.146786705572557,0.124092907820551,0.248618516252464,0.208657886040693,0.0309793705555164,0.0446547334017406,0.029318017801299,0.0300204997126609,0.0358698437099667,0.0270335643043126,0,0.031507475148479,0.0384151753189122,0.0449177714989495,0.0253000662266439,0.154020891772359,0.21389720711361,0.0320196836792302,0.0600712977369862,0.031004867764239,0.118139506462027,0.098780763151953,0.146414975752252,0.159179342058719,0.295437067418611,0.224314613176609,0.0497620251539011,0.0444247001332741,0.0828002161521432,0.0620996208654726,0.0616203472172608,0.102101011934474,0.0525850673015827,0.0957525609293418,0.0446980504041845,0.0310612314960887,0,0.0325851905246216,0.252949449175717,0.0651663117703209,0,0,0,0.0529766240646315,0.0697790330619704,0.0582123002590447,0.237174149071858,0.254486652705246,0.133183568677792,0.0246933178118193,0.0450052947405577,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","sanguinis"
"ASV195",0,0,0,0,0,0,0.00899223969714137,0.0194233215822238,0.0708114997875655,0.484404703231712,0.42944552122525,0.503668510945393,0.63043049396588,0.0307455803228286,0.0248993355434458,0.0300004883800434,0.0378089701781748,0,0.0268057668622763,0.0535766108328931,0.024092653461598,0.0244453950986983,0,0,0,0,0.00564461503725446,0.045710041210459,0.0446009750695929,0.0570366572673673,0.220905576502192,0,0,0,0,0.0151818246767164,0,0.137305453509688,0.0198731730230709,0,0,0,0,0.00781311039924994,0,0.611092719675754,0.590434117747005,0,0,0,0,0,0,0,0.18255417096595,0.106777267913872,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera",NA
"ASV196",0,0,0,0.0065536321165423,0.0127793349634085,0.135221692406234,0.0980154126988409,0.144703745787567,0.159561912854648,0.0168978384848271,0,0.0218005773394275,0.0240163997701287,0.307455803228286,0.182120854260632,0.219771019528225,0.256785922460104,0.123193493264098,0.110120988190973,0.192726975079435,0.204787554423583,0.233759090631302,0.194645971839531,0,0,0.0183319923820387,0.0319861518777753,0.120703077571368,0.117654296304271,0.212765957446809,0.147952191669678,0,0,0.0113305558945038,0,0.0482246195613346,0.0499160502790761,0.0262925336507913,0.0569095409297032,0,0,0,0.00691201011128336,0.165051957184155,0.0660841471473677,0.0617355749013573,0,0,0,0.0132912443927563,0.00679143503022189,0.19395574857432,0.112221544769327,0.064987163029525,0.0370399767177289,0.0944228732792093,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"ASV197",0,0.0701932263536569,0.0840814776641623,0.136690041287882,0.124385526977176,0.218845633762722,0.116899116062838,0.0330196466897804,0.0254921399235236,0.128141941843273,0.107361380306312,0.100733702189079,0.116651084597768,0.0691775557263643,0.145838965325897,0.17721218717514,0.0834948091434693,0.0874276403809726,0.0869376222560313,0.107153221665786,0.0481853069231961,0.0259732322923669,0.0977442975471237,0.0541626455005613,0.0434068148699346,0.122213282546925,0.122299992473847,0.0685650618156886,0.0530597806862398,0.0365290951038195,0.0231814493860325,0.0385254388288267,0.0277654375832963,0.043579061132707,0.0631890878982002,0.0821604629563478,0.0657984299133276,0.0160676594532614,0.0433596502321548,0.0675225867807893,0.125062326813199,0.0779671531928807,0.0859064113830932,0.0849675755918431,0.138593141934063,0.0187890880134566,0,0.0600737268465844,0.0386287883804605,0.0706097358365177,0.109633165487868,0.153899670064406,0.075992542127261,0.0657894736842105,0.0396856893404238,0.132368513942817,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV198",0,1.03340027687328,0.862513222490439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640767267127606,0,0,0,0,0,0,0.277704204891126,0.840367244187768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18782141719383,0.641237887115644,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Limnochordia",NA,NA,NA,NA
"ASV199",0,0,0,0.00842609843555439,0,0.0765070101772116,0.0413643026068503,0.0301061484524469,0.0245479865930227,0.0204182215024995,0.0209022156348573,0.0165383690161174,0.0188700283908154,0.179989751473226,0.241167849977946,0.260236794552469,0.160688123257243,0.290100806718682,0.274577990291966,0.253000662266439,0.21597342924504,0.204730183951598,0.245203367122526,0,0,0.0122213282546925,0.0103484609016332,0.241406155142737,0.213777087402532,0.19161753396565,0.148633999004561,0,0,0,0,0.0964492391226691,0.137647290163513,0.0306746225925899,0.080396018138787,0,0,0.00167671297188991,0,0.0410188295960622,0.0770981716719289,0.030420428212263,0.0191147735961261,0,0,0.00166140554909453,0,0.0210821465841652,0.0450653447498873,0.0457317073170732,0,0.00441228379809389,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",NA,NA
"ASV200",0,0.0399711427847213,0.0117533248347754,0.0954957822696164,0.147388329911311,0.0124546295637321,0.0296743910005665,0.082549116724451,0.0358778265590332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171412654539221,0.0176865935620799,0.0544732119969239,0.0313631374046322,0.0561829316253722,0,0.38523890041313,0.380223994421929,0.0669786382796314,0.00983194929739378,0.0241014891798921,0.0569095409297032,0.500237755587256,0.335134339826221,0.608646808796036,0.330789055325704,0.060551605594187,0.0679198179014612,0.0733669151001637,0.0424772746580579,0.0700860146543485,0.00882943734410525,0.19770726034225,0.260014941157067,0.0263526832302065,0.0874797868674284,0.0593709884467266,0.194018925664294,0.187080833039181,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Caproiciproducens",NA
"ASV201",0,0,0,0,0,0,0,0.020394487661335,0.00472076665250437,0.0295712173484475,0.0209022156348573,0.0233040654318018,0.0488905281034764,0.313861132462209,0.459570593173314,0.378843376520083,0.319800872757062,0.547085082990025,0.446279794247627,0.284253685252294,0.288251389629834,0.328484996638758,0.278065674056473,0,0,0,0.00846692255588169,0,0,0.04421943091515,0.0306813300697489,0,0,0,0,0,0,0.0109552223544964,0.0280031074416,0,0,0,0,0,0,0.016999651059794,0.00637159119870869,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA
"ASV202",0,0,0,0.616977652114483,0.84088024059228,0,0.019782927333711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65951682095281,0,0,0,0,0,0,0,0.0512049505381967,0,0,0,0,0,0.199445802238043,0,0.273518114403642,0,0,0,0,0,0,0.0232596776873235,1.0031919744642,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"ASV203",0,0,0,0,0,0,0,0.0883761131991182,0.0377661332200349,0.0640709709216363,0.0427545319803899,0.0623947558335338,0.0617564565517596,0,0,0.0160467728544418,0.0118153031806796,0.0470254732352201,0.029703687604144,0.017858870277631,0.0292553649176547,0.0397237670353847,0.0160098418396151,0.00984775372737479,0,0.0112028842334681,0.0103484609016332,0.867062344210895,0.850494455637409,0.141630351192002,0.216814732492892,0,0,0.00784423100388725,0,0.0366149889261985,0.117983391568725,0.259273595723081,0.352297158136258,0.00570613409415121,0,0.00503013891566972,0,0.0146495819985936,0.0183567075409355,0.267520824572548,0.196457395293518,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",NA
